takeoff_angle,azimuth,strike,dip,rake,poissons_ratio,opening_angle,Gp,Gs,Gsh,Gsv
1.277e+02,-1.138e+02,-9.458e+01,3.760e+01,3.678e+01,2.500e-01,6.190e+01,1.359e+00,9.141e-01,5.591e-01,7.232e-01
1.358e+02,-9.362e+01,-1.481e+01,8.847e+01,-4.076e+01,2.500e-01,3.233e+01,1.430e+00,7.567e-01,-6.186e-01,-4.358e-01
4.968e+01,-2.978e+01,1.667e+02,2.713e+01,1.498e+02,2.500e-01,6.627e+01,1.184e+00,6.932e-01,1.844e-01,-6.682e-01
1.223e+02,-1.621e+02,1.685e+01,6.310e+01,-1.796e+02,2.500e-01,3.552e+01,9.548e-01,8.933e-01,-8.512e-01,2.708e-01
1.179e+02,1.450e+02,7.609e+00,5.997e+01,-1.352e+01,2.500e-01,6.151e+01,1.403e+00,9.345e-01,-9.101e-01,2.119e-01
2.927e+01,1.601e+02,-9.663e+01,4.852e+01,-2.723e+01,2.500e-01,6.336e+01,2.408e+00,7.681e-01,-5.083e-02,7.664e-01
2.142e+01,-3.289e+00,-3.997e+00,6.283e+01,-1.407e+01,2.500e-01,3.981e+01,5.075e-01,3.156e-01,-1.317e-01,-2.868e-01
8.971e+01,-3.869e+00,4.466e+01,5.999e+01,9.726e+01,2.500e-01,1.762e+00,-3.126e-01,6.044e-01,4.152e-01,-4.392e-01
1.728e+02,-5.842e+01,6.449e+01,1.603e+01,-6.391e+01,2.500e-01,2.978e+01,7.553e-01,9.671e-01,-1.699e-01,9.520e-01
6.127e+01,1.440e+02,-3.761e+01,1.152e+01,1.025e+02,2.500e-01,3.819e+01,8.086e-01,5.899e-01,-2.568e-01,-5.311e-01
1.053e+02,-4.707e+01,-4.772e+01,8.992e+01,-1.031e+01,2.500e-01,2.432e+01,4.307e-01,8.305e-01,8.305e-01,-5.822e-03
4.029e+01,-1.400e+02,1.757e+02,1.540e+01,-1.671e+02,2.500e-01,1.773e+01,8.969e-01,6.632e-01,-6.165e-01,-2.446e-01
1.352e+02,1.009e+02,-1.664e+02,2.934e+00,-1.167e+02,2.500e-01,7.395e+01,1.591e+00,9.385e-01,-9.393e-02,9.338e-01
4.592e+01,-3.969e+01,1.387e+02,5.051e+01,7.983e+01,2.500e-01,3.869e+01,1.347e+00,8.722e-01,6.031e-01,-6.300e-01
9.107e+01,-9.299e+01,1.488e+02,7.937e+01,-9.545e+00,2.500e-01,7.990e+01,2.337e+00,9.288e-01,-8.942e-01,2.514e-01
1.258e+02,-3.459e+01,1.066e+02,6.023e+01,-1.250e+02,2.500e-01,3.521e+01,6.662e-01,3.944e-01,3.437e-01,-1.934e-01
1.604e+02,-1.453e+02,-1.445e+02,1.714e+01,-5.720e+01,2.500e-01,6.922e+01,2.410e+00,8.275e-01,7.479e-01,3.541e-01
1.727e+02,-1.325e+02,-8.573e+01,3.320e+01,3.866e+01,2.500e-01,3.571e+01,1.869e+00,6.209e-01,6.134e-01,9.605e-02
9.850e+01,1.591e+02,-5.927e+01,4.147e+01,-1.110e+02,2.500e-01,7.277e+01,1.165e+00,6.086e-01,3.986e-01,-4.599e-01
2.495e+01,1.642e+02,6.470e+01,8.835e+01,8.583e+01,2.500e-01,6.796e+01,9.391e-01,4.041e-01,-7.201e-02,3.976e-01
2.687e+01,2.708e+01,-1.308e+02,1.408e+01,-9.257e+01,2.500e-01,3.397e+01,7.702e-01,8.768e-01,7.347e-01,-4.785e-01
4.635e+01,-1.585e+02,7.964e+01,7.700e+01,1.503e+02,2.500e-01,1.944e+01,4.050e-01,4.712e-01,2.151e-01,4.192e-01
1.513e+02,-9.548e+01,-1.416e+02,5.803e+01,-8.314e+01,2.500e-01,7.114e+01,1.779e+00,9.852e-01,8.136e-01,-5.557e-01
4.577e+01,-5.286e+01,5.535e+01,3.386e+01,9.558e+01,2.500e-01,8.544e+01,2.798e+00,5.936e-01,3.175e-01,-5.016e-01
1.466e+02,1.156e+02,-2.097e+00,1.718e+01,-1.121e+02,2.500e-01,2.948e+01,1.855e+00,4.721e-01,-2.281e-01,-4.134e-01
4.383e+01,-1.745e+02,1.005e+02,3.854e+01,-7.650e+01,2.500e-01,6.041e+01,7.716e-01,2.375e-01,2.435e-02,2.363e-01
1.673e+02,-1.645e+02,7.741e+01,4.338e+01,-1.472e+02,2.500e-01,3.948e+01,1.279e+00,9.223e-01,6.519e-02,-9.200e-01
6.300e+01,-1.192e+02,1.453e+02,1.086e+01,2.744e+01,2.500e-01,7.502e+01,1.191e+00,6.378e-01,7.271e-02,-6.336e-01
3.539e+01,5.368e+01,1.407e+02,5.306e+01,6.601e+01,2.500e-01,6.920e+01,2.810e+00,3.368e-01,-2.048e-01,2.674e-01
4.520e+01,8.342e+01,-5.970e+01,2.036e+01,1.677e+01,2.500e-01,1.505e+01,1.118e+00,6.708e-01,4.473e-01,-4.999e-01
1.109e+02,5.319e+01,7.155e+01,3.462e+01,-2.674e+01,2.500e-01,7.758e+01,1.040e+00,3.695e-01,2.188e-01,2.978e-01
8.519e+01,-1.767e+01,-1.088e+02,5.247e+01,5.200e+01,2.500e-01,8.909e+01,2.079e+00,9.968e-01,-2.992e-02,9.964e-01
6.330e+01,1.692e+01,-1.690e+02,2.266e+01,5.314e+01,2.500e-01,4.630e+01,1.391e+00,8.889e-01,1.615e-01,-8.741e-01
1.495e+02,-7.332e+01,8.787e+01,2.614e+01,6.445e+01,2.500e-01,7.959e+01,2.021e+00,9.914e-01,-4.811e-01,8.669e-01
1.053e+02,8.809e+01,8.077e-03,5.554e+01,4.888e+01,2.500e-01,5.292e+01,1.965e+00,9.182e-01,-3.445e-01,8.511e-01
9.895e+01,-1.120e+02,-7.228e+00,2.388e+01,1.603e+02,2.500e-01,1.393e+01,7.125e-03,4.211e-01,1.541e-01,3.919e-01
1.651e+02,6.724e+01,1.457e+02,7.419e+01,-1.048e+02,2.500e-01,1.799e+01,2.705e-01,9.173e-01,-1.806e-01,-8.994e-01
5.145e+01,-1.139e+02,3.955e+01,8.844e+01,7.534e+01,2.500e-01,3.663e+01,1.209e+00,9.079e-01,9.037e-01,8.809e-02
1.363e+02,-4.735e+01,4.236e+01,6.572e+01,-9.496e+01,2.500e-01,6.738e+01,1.368e+00,8.776e-01,6.211e-03,-8.776e-01
1.357e+02,4.522e+01,1.294e+02,3.095e+01,-1.370e+02,2.500e-01,7.430e+01,9.906e-01,3.076e-01,-3.059e-02,3.061e-01
6.848e+01,1.009e+02,1.100e+02,5.257e+01,3.863e+01,2.500e-01,7.110e+01,1.034e+00,4.559e-01,-3.261e-01,-3.187e-01
